Rank;Nama_Koperasi;Lokasi;Nilai
1;KOPERASI DESA MERAH PUTIH PUCANGAN KECAMATAN MONTONG;Pucangan, Montong, KAB. TUBAN, JAWA TIMUR;5426137037
2;KOPERASI DESA MERAH PUTIH PRINGGAJURANG;Pringga Jurang, Montong Gading, KAB. LOMBOK TIMUR, NUSA TENGGARA BARAT;3618000000
3;KOPERASI DESA MERAH PUTIH JAYA MAKMUR KECAMATAN KATINGAN KUALA;Jaya Makmur, Katingan Kuala, KAB. KATINGAN, KALIMANTAN TENGAH;2057007000
4;KOPERASI DESA MERAH PUTIH KARANGAGUNG KECAMATAN PALANG;Karangagung, Palang, KAB. TUBAN, JAWA TIMUR;1757695722
5;KOPERASI DESA MERAH PUTIH RENGEL;Rengel, Rengel, KAB. TUBAN, JAWA TIMUR;1325200632
6;KOPERASI DESA MERAH PUTIH MEKAR JAYA KECAMATAN BANDAR SRIBHAWONO;Mekar Jaya, Bandar Sribhawono, KAB. LAMPUNG TIMUR, LAMPUNG;1313044000
7;KOPERASI DESA MERAH PUTIH PUTAT NUTUG KECAMATAN CISEENG;Putat Nutug, Ciseeng, KAB. BOGOR, JAWA BARAT;1086512500
8;KOPERASI DESA MERAH PUTIH TETABAN;Tetaban, Sebuku, KAB. NUNUKAN, KALIMANTAN UTARA;921398000
9;KOPERASI DESA MERAH PUTIH BAKALANWRINGINPITU;Bakalanwringinpitu, Balongbendo, KAB. SIDOARJO, JAWA TIMUR;783075200
10;KOPERASI DESA MERAH PUTIH ASAHAN JABUNG;Asahan, Jabung, KAB. LAMPUNG TIMUR, LAMPUNG;708344000
