Metrik;Nilai;Satuan
Total_Koperasi;83382;unit
Koperasi_Kelurahan;8576;unit
Koperasi_Desa;74805;unit
Telah_Memiliki_Akun;79706;unit
Telah_Memiliki_NPWP;80978;unit
Telah_Memiliki_NIB;60773;unit
Simpanan_Pokok;41514541015;IDR
Simpanan_Wajib;10374248180;IDR
Volume_Transaksi_2026;53262;unit
Nilai_Transaksi_2026;56571080135;IDR
Total_Pendapatan;85260000000;IDR
Total_Beban;29190000000;IDR
Total_Aset;453890000000;IDR
Total_Liabilitas;61590000000;IDR
Total_Ekuitas;215910000000;IDR
Koperasi_Sudah_RAT_2025;50264;unit
Koperasi_Sedang_RAT_Draft;14346;unit
Koperasi_Belum_RAT;18772;unit
Koperasi_Diverifikasi_Dinas;44227;unit
Lahan_Diajukan;38053;unit
Lahan_Terverifikasi;35870;unit
Pembangunan_100_Persen;15533;unit
Pembangunan_100_Persen_Persen;43.3;persen
Sedang_Pembangunan_Persen;55.3;persen
Belum_Mulai_Persen;1.4;persen
Koperasi_Belum_Lapor;52117;unit
Koperasi_Belum_Lapor_Persen;62.5;persen
Koperasi_Tidak_Sehat;28495;unit
Koperasi_Tidak_Sehat_Persen;91.1;persen
Koperasi_Cukup_Sehat;2087;unit
Koperasi_Cukup_Sehat_Persen;6.7;persen
Koperasi_Sehat;683;unit
Koperasi_Sehat_Persen;2.2;persen
