Provinsi;Jumlah_Koperasi;Memiliki_NIB;Memiliki_NPWP;Telah_RAT_2025;Simpanan_Pokok;Simpanan_Wajib;Volume_Transaksi_2026;Nilai_Transaksi_2026;Persen_Lahan_Terverifikasi;Persen_Pembangunan_Gerai
JAWA TENGAH;8524;8401;8307;6305;4357444650;1464624760;9301;5745086783;50.5;77.8
JAWA TIMUR;8494;7874;8494;6363;15457725700;1309045670;23276;21484751078;77.02;81.84
ACEH;6534;4442;6529;4479;329324200;98400060;183989;510344540;27.97;64.58
SUMATERA UTARA;6102;4655;6096;4337;516362975;169180400;511;425958000;55.02;66.27
JAWA BARAT;5970;5261;5964;3469;3551417085;2863929414;2778;3530265249;58.3;68.95
NUSA TENGGARA TIMUR;3452;2218;3451;2051;2011428493;280565930;215;188417968;33.14;47.78
SUMATERA SELATAN;3267;2513;3266;2922;810788559;370878120;761;1755749900;41.75;47.12
SULAWESI SELATAN;3081;2517;3074;2245;768886115;278728945;1096;1138175100;50.8;71.32
LAMPUNG;2651;2106;2651;1786;1145409400;359864701;1116;6743253880;30.67;51.43
PAPUA PEGUNUNGAN;2387;143;1041;277;140000;40000;0;0;7.5;20.8
SULAWESI TENGGARA;2273;1674;2271;1533;623164050;163680080;244;228492920;26.18;46.01
KALIMANTAN BARAT;2156;1518;2150;1297;295795050;107475020;119;34448698;41.61;23.53
KALIMANTAN SELATAN;2013;1405;2010;1279;2785016110;335704000;1259;1663455580;42.67;56.1
SULAWESI TENGAH;1983;1530;1982;1219;336390000;52160860;675;282756920;41.05;58.43
RIAU;1866;1107;1864;1061;626247978;114530000;305;89912000;59.64;37.66
SULAWESI UTARA;1839;1377;1838;1386;400700950;105475840;131;154166000;47.09;55.58
JAMBI;1591;1121;1590;1133;444756600;167055380;133;70168200;42.61;65.54
BANTEN;1553;1342;1553;868;2672237700;392606320;624;496937002;47.55;69.32
KALIMANTAN TENGAH;1543;1086;1541;1017;248095000;122905000;75;2165019960;28.71;43.65
BENGKULU;1508;1036;1506;1270;146286400;56566285;73;22416000;62.27;34.28
SUMATERA BARAT;1270;896;1269;779;496217100;190548000;00;0;42.6;45.92
MALUKU;1236;595;1231;713;53290000;18400000;33;16920160;18.93;30.55
PAPUA TENGAH;1200;143;1041;277;11145000;3540000;0;0;12.58;17.67
MALUKU UTARA;1191;690;1188;867;117600000;72310000;56;182756000;32.94;64.37
NUSA TENGGARA BARAT;1172;828;1169;948;767890200;213432280;409;3978631511;49.83;67.57
KALIMANTAN TIMUR;1037;707;1036;564;344400000;175537000;224;206142014;13.02;44.25
PAPUA BARAT DAYA;1024;180;994;549;16611000;5470000;0;0;29.79;24.49
PAPUA;985;530;981;437;48070050;16255000;6;12251500;19.7;17.75
PAPUA BARAT;826;574;822;530;10010000;2070000;34;17993000;27;30.63
GORONTALO;731;514;730;530;176765000;34795025;158;134083321;31.74;33.37
BALI;718;497;716;641;905365000;307288000;952;1271071062;19.13;73.42
SULAWESI BARAT;648;504;647;488;184925000;50455060;88;13024000;42.28;42.53
PAPUA SELATAN;640;88;616;213;2240000;680000;0;0;9.22;19.22
DAERAH ISTIMEWA YOGYAKARTA;438;301;438;367;390665000;149496000;8;11645100;13.93;77.95
KALIMANTAN UTARA;411;380;410;296;19020450;37880000;7;921398000;43.55;80.69
KEPULAUAN RIAU;407;294;405;275;82200000;28500000;5;0;18.92;51.69
KEPULAUAN BANGKA BELITUNG;393;282;393;297;64410200;32840030;31;72493204;24.43;47.23
DKI JAKARTA;268;266;267;266;296100000;221335000;29;272360777;3.0;87.26
